state,cases,deaths,Population,Mask Use,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accomodation and Food Services,Other Services,Public Administration,total_li_workers_employed,low_income_worker_job_loss_rate,State Code,Region,Division
Georgia,644065,10588.0,10729828,264338,0.08333333333333330,0.07837735849056600,0.1261446540880500,0.19979245283018900,0.512314465408805,1064.3,2528.4,-4504.5,3063.2000000000000,442.0,2093.9,-871.9,2096.1,-8738.8,-8585.3,7771.2,9525.3,41930.8,7410.400000000000,1450.9,2501409,0.0257207038113319,GA,South,South Atlantic
Hawaii,21459,286.0,1451043,278312,0.0162,0.0188,0.0334,0.1166,0.8150000000000000,1487.9,9587.0,5237.8,1933.7,-48.2,1374.7,247.2,269.1,3677.9,1061.8,2070.2,3640.8,18496.7,4041.3,138.4,310789,0.1755371007339380,HI,West,Pacific
Idaho,141388,1438.0,1849202,12862,0.10377272727272700,0.14479545454545500,0.14477272727272700,0.2198409090909090,0.3868409090909090,-534.4,-3370.8,-568.6,308.1,-1132.8,-706.7,-728.2,-154.5,1364.7,-2047.2,-1058.4,-371.1,-1921.0,799.0,-273.8,460786,-0.0279131744454041,ID,West,Mountain
Illinois,965840,17979.0,12786580,537962,0.07227450980392160,0.07131372549019610,0.12687254901960800,0.2194901960784310,0.510078431372549,2980.9,19433.3,-1696.1,4095.0,2268.9,2724.0,5053.3,844.1,11662.4,19133.4,29951.3,21808.6,89440.9,11013.3,3056.8,3131973,0.0759783050492453,IL,Midwest,East North Central
Indiana,514455,8263.0,6788799,364434,0.08609782608695650,0.09643478260869570,0.13042391304347800,0.23692391304347800,0.45021739130434800,713.0,-360.3,-4568.8,3017.4,259.5,2038.0,-113.9,-359.6,18223.3,3264.4,9641.3,770.5,17353.4,8372.4,-53.0,1763209,0.0365435974975173,IN,Midwest,East North Central
Iowa,281712,3891.0,3190571,183293,0.10432323232323200,0.11732323232323200,0.16742424242424200,0.2147070707070710,0.39620202020202000,676.7,1298.3,717.4,1609.0,102.8,343.6,749.6,305.7,611.7,9612.9,11336.4,2098.3,11026.7,1033.4,399.0,832208,0.0520218503066541,IA,Midwest,West North Central
Kansas,225455,2741.0,2937919,227803,0.11688571428571400,0.11694285714285700,0.1511142857142860,0.21946666666666700,0.39559047619047600,87.4,876.9,-1534.2000000000000,872.9,615.6,979.7,-263.7,309.3,2012.9,1098.4,6824.3,4098.8,6510.8,1229.4,240.4,786786,0.0353374361007948,KS,Midwest,West North Central
Kentucky,315275,2956.0,4507445,247740,0.08633333333333330,0.08312500000000000,0.13109166666666700,0.20799166666666700,0.4914,538.6,-2037.1,-2801.2,1386.3,-446.0,422.9,-234.5,341.1,8997.8,2601.0,7514.1,-255.7,23344.6,3220.5,1627.7,1090809,0.0437656821680055,KY,South,East South Central
Louisiana,268828,7488.0,4651664,129584,0.082328125,0.07245312500000000,0.11440625,0.20715625,0.52365625,1562.4,2391.0,3352.9,4242.0,1433.8,2193.2,-412.8,462.5,5293.6,174.1,6591.7,7605.3,26032.9,3153.1,1985.8,1105299,0.0720022364989021,LA,South,West South Central
Maine,24201,347.0,1363557,12102,0.0475,0.0589375,0.1000625,0.20125000000000000,0.592375,164.9,201.3,200.6,420.6,116.2,177.5,34.0,39.4,-676.9,-1762.3,3045.6,1553.5,7352.3,384.8,342.7,364196,0.033229360014937,ME,Northeast,New England
Maryland,276834,5895.0,6173205,189304,0.02291666666666670,0.020916666666666700,0.05154166666666670,0.16183333333333300,0.74275,1208.4,8008.0,1850.9,1792.0,675.6,1238.6,-343.40000000000000,144.2,6383.8,1931.7,10021.0,9871.6,36085.9,6024.8,152.7,1334647,0.0669120748782262,MD,South,South Atlantic
Massachusetts,375178,12423.0,6995729,155364,0.0195,0.011785714285714300,0.04014285714285720,0.13114285714285700,0.7972857142857140,1687.9,14141.2,4429.8,1371.1,558.9,532.1,-1349.7,1228.1,5488.1,12683.6,25755.5,12841.3,53152.1,17240.8,1823.1,1574186,0.0986948175120348,MA,Northeast,New England
Michigan,526668,13010.0,10069577,195611,0.04479518072289160,0.061265060240963900,0.10028915662650600,0.21887951807228900,0.5748072289156630,3144.2000000000000,16013.7,-407.5,3386.2,-185.2,2563.7,799.4,168.6,22900.300000000000,6771.8,31138.9,11298.0,60721.3,14186.8,2417.7,2357375,0.0829783127419269,MI,Midwest,East North Central
